"part","uk_qty","de_qty"
"10-141160","0","0"
"10-141170","0","0"
"10-141180","0","0"
"10-141190","0","0"
"10-141200","0","0"
"10-141210","0","0"
"10-141220","0","0"
"10-141230","0","0"
"10-141240","0","0"
"10-141250","0","0"
"10-141260","0","0"
"10-141270","5","5"
"10-141280","0","0"
"10-141290","0","0"
"10-141300","0","0"
"10-141310","0","0"
"10-141320","0","0"
"10-141330","0","0"
"10-141340","0","0"
"10-150010","5","5"
"10-150020","3","3"
"10-150030","5","5"
"10-150040","3","3"
"10-150050","5","5"
"10-150060","5","5"
"10-150070","5","5"
"10-150080","0","0"
"10-150090","0","0"
"10-150100","3","3"
"10-150110","5","5"
"10-150120","5","5"
"10-150130","0","0"
"10-150140","5","5"
"10-150150","5","5"
"10-150160","0","0"
"10-150170","0","0"
"10-150180","0","0"
"10-150190","0","0"
"10-210010","5","5"
"10-210020","5","5"
"10-210030","2","2"
"10-210040","1","1"
"10-210050","0","0"
"10-210060","0","0"
"10-210070","2","2"
"10-210080","0","0"
"10-210090","0","0"
"10-210100","0","0"
"10-210110","0","0"
"10-210120","0","0"
"10-210130","0","0"
"10-210140","0","0"
"10-210150","0","0"
"10-210160","0","0"
"10-210170","4","4"
"10-210190","0","0"
"10-210200","5","5"
"10-210210","0","0"
"10-210220","1","1"
"10-210230","3","3"
"10-210240","0","0"
"10-210250","0","0"
"10-210260","0","0"
"10-210270","0","0"
"10-210280","0","0"
"10-210290","0","0"
"10-210300","0","0"
"10-210310","0","0"
"10-210320","0","0"
"10-210330","0","0"
"10-210340","0","0"
"10-210350","0","0"
"10-210360","0","0"
"10-210370","0","0"
"10-210380","0","0"
"10-210390","0","0"
"10-210400","0","0"
"10-210410","0","0"
"10-210420","0","0"
"10-220040","5","5"
"10-220050","3","3"
"10-220060","2","2"
"10-220070","5","5"
"10-220080","5","5"
"10-220090","5","5"
"10-220100","0","0"
"10-220110","4","4"
"10-220120","5","5"
"10-220130","5","5"
"10-220150","5","5"
"10-220200","5","5"
"10-220210","0","0"
"10-220220","0","0"
"10-220230","4","4"
"10-220240","2","2"
"10-220250","5","5"
"10-220260","4","4"
"10-220270","5","5"
"10-220280","0","0"
"10-220290","0","0"
"10-220300","1","1"
"10-220310","0","0"
"10-220320","0","0"
"10-220330","0","0"
"10-230010","0","0"
"10-240010","0","0"
"10-240020","0","0"
"10-270010","0","0"
"10-270020","3","3"
"10-270030","0","0"
"10-270040","0","0"
"10-270050","0","0"
"10-270060","0","0"
"10-270070","0","0"
"10-270080","5","5"
"10-270090","4","4"
"10-270100","0","0"
"10-270110","4","4"
"10-270120","1","1"
"10-270130","3","3"
"10-270140","0","0"
"10-270150","0","0"
"10-270160","5","5"
"10-270170","0","0"
"10-270180","5","5"
"10-270190","4","4"
"10-270200","0","0"
"10-270210","0","0"
"10-270220","3","3"
"10-270230","5","5"
"10-270240","0","0"
"10-270250","0","0"
"10-270260","0","0"
"10-270270","0","0"
"10-270280","5","5"
"10-270290","0","0"
"10-270300","0","0"
"10-270310","0","0"
"10-270320","5","5"
"10-270330","5","5"
"10-270340","5","5"
"10-270350","0","0"
"10-270360","0","0"
"10-270370","0","0"
"10-270380","0","0"
"10-270390","0","0"
"10-270400","0","0"
"10-270410","0","0"
"10-290010","5","5"
"10-290020","0","0"
"10-290030","5","5"
"10-290040","0","0"
"10-290050","5","5"
"10-300010","4","4"
"10-300020","4","4"
"10-300030","0","0"
"10-300040","2","2"
"10-300050","0","0"
"10-310010","0","0"
"10-310020","3","3"
"10-310030","0","0"
"10-310040","0","0"
"10-310050","3","3"
"10-310060","5","5"
"10-340010","0","0"
"10-340020","0","0"
"10-340030","2","2"
"10-340040","4","4"
"10-340050","5","5"
"10-340060","1","1"
"10-340070","0","0"
"10-340080","2","2"
"10-340090","0","0"
"10-340100","0","0"
"10-340110","0","0"
"10-340120","0","0"
"10-340130","0","0"
"10-340140","5","5"
"10-340150","0","0"
"10-340160","2","2"
"10-340170","3","3"
"10-340180","5","5"
"10-340190","0","0"
"10-340200","0","0"
"10-340210","0","0"
"10-340220","0","0"
"10-340230","0","0"
"10-340240","2","2"
"10-340250","0","0"
"10-340260","0","0"
"10-340270","0","0"
"10-340280","4","4"
"10-340290","3","3"
"10-340300","0","0"
"10-340310","0","0"
"10-340320","0","0"
"10-340330","0","0"
"10-340340","0","0"
"10-340350","0","0"
"10-340360","0","0"
"10-340370","0","0"
"10-340380","0","0"
"10-340390","0","0"
"10-340400","0","0"
"10-340410","0","0"
"10-340420","0","0"
"10-340430","0","0"
"10-340440","0","0"
"10-340450","0","0"
"10-340460","0","0"
"10-340470","0","0"
"10-340480","0","0"
"10-340490","0","0"
"10-340500","0","0"
"10-340510","0","0"
"10-340520","0","0"
"10-340530","0","0"
"10-340540","0","0"
"10-340550","0","0"
"10-340560","0","0"
"10-340570","0","0"
"10-340580","0","0"
"10-340590","0","0"
"10-340600","0","0"
"10-340610","0","0"
"10-340620","1","1"
"10-340630","0","0"
"10-340640","1","1"
"10-340650","0","0"
"10-340660","0","0"
"10-340670","0","0"
"10-340680","0","0"
"10-340690","1","1"
"10-340700","0","0"
"10-340710","0","0"
"10-340720","0","0"
"10-340730","0","0"
"10-340740","0","0"
"10-350010","5","5"
"10-350020","0","0"
"10-350540","0","0"
"10-350550","0","0"
"11-000305","0","0"
"11-001325","0","0"
"11-001354","0","0"
"11-001355","0","0"
"11-001360","0","0"
"11-001361","0","0"
"11-001362","0","0"
"11-001363","0","0"
"11-001364","0","0"
"11-001380","0","0"
"11-001404","0","0"
"11-001414","0","0"
"11-001415","0","0"
"11-001468","0","0"
"11-001601","0","0"
"11-001692","0","0"
"11-001696","0","0"
"11-001700","0","0"
"11-001701","0","0"
"11-001702","0","0"
"11-001750","0","0"
"11-001783","0","0"
"11-001910","0","0"
"11-001913","0","0"
"11-010436","0","0"
"11-011321","0","0"
"11-011337","0","0"
"11-011338","0","0"
"11-011365","0","0"
"11-011367","0","0"
"11-011368","0","0"
"11-011369","0","0"
"11-011371","0","0"
"11-011381","0","0"
"11-011389","0","0"
"11-011403","0","0"
"11-011418","0","0"
"11-011443","0","0"
"11-011466","0","0"
"11-011467","0","0"
"11-011495","0","0"
"11-011496","0","0"
"11-011619","0","0"
"11-011620","0","0"
"11-011621","0","0"
"11-011622","0","0"
"11-011623","0","0"
"11-011624","0","0"
"11-011627","0","0"
"11-011628","0","0"
"11-011629","0","0"
"11-011633","0","0"
"11-011668","0","0"
"11-011669","0","0"
"11-011670","0","0"
"11-011673","0","0"
"11-011686","0","0"
"11-011708","0","0"
"11-011714","0","0"
"11-011733","0","0"
"11-011787","0","0"
"11-011789","0","0"
"11-011961","0","0"
"11-011962","0","0"
"11-011964","0","0"
"11-011965","0","0"
"11-011972","0","0"
"11-011975","0","0"
"11-040802","0","0"
"11-040803","0","0"
"11-040804","0","0"
"11-040805","0","0"
"11-040807","0","0"
"11-040808","0","0"
"11-040809","0","0"
"11-040810","0","0"
"11-040813","0","0"
"11-040815","0","0"
"11-040817","0","0"
"11-040819","0","0"
"11-040821","0","0"
"11-040830","0","0"
"11-040840","0","0"
"11-040841","0","0"
"11-040842","0","0"
"11-040843","0","0"
"11-040848","0","0"
"11-040849","0","0"
"11-040850","0","0"
"11-040851","0","0"
"11-040852","0","0"
"11-040854","0","0"
"11-040855","0","0"
"11-040856","0","0"
"11-040857","0","0"
"11-040858","0","0"
"11-040859","0","0"
"11-040860","0","0"
"11-040861","0","0"
"11-040862","0","0"
"11-040863","0","0"
"11-040864","0","0"
"11-040865","0","0"
"11-040867","0","0"
"11-040868","0","0"
"11-040890","0","0"
"11-041639","0","0"
"11-041643","0","0"
"11-041644","0","0"
"11-041647","0","0"
"11-050430","0","0"
"11-050431","0","0"
"11-050437","0","0"
"11-050438","0","0"
"11-050442","0","0"
"11-050443","0","0"
"11-050444","0","0"
"11-050446","0","0"
"11-050447","0","0"
"11-050450","0","0"
"11-050451","0","0"
"11-050452","0","0"
"11-050453","0","0"
"11-050455","0","0"
"11-050456","0","0"
"11-050457","0","0"
"11-050458","0","0"
"11-050459","0","0"
"11-050460","0","0"
"11-050462","0","0"
"11-050463","0","0"
"11-050465","0","0"
"11-050466","0","0"
"11-050468","0","0"
"11-050469","0","0"
"11-050470","0","0"
"11-050471","0","0"
"11-050472","0","0"
"11-050473","0","0"
"11-050474","0","0"
"11-050475","0","0"
"11-050476","0","0"
"11-050478","0","0"
"11-050479","0","0"
"11-050480","0","0"
"11-050481","0","0"
"11-050482","0","0"
"11-050483","0","0"
"11-050484","0","0"
"11-050485","0","0"
"11-050486","0","0"
"11-050487","0","0"
"11-050488","0","0"
"11-050489","0","0"
"11-050490","0","0"
"11-050491","0","0"
"11-050496","0","0"
"11-050497","0","0"
"11-050498","0","0"
"11-050499","0","0"
"11-051386","0","0"
"11-051475","0","0"
"11-051675","0","0"
"11-051704","0","0"
"11-051705","0","0"
"11-051706","0","0"
"11-051707","0","0"
"11-051709","0","0"
"11-051710","0","0"
"11-051711","0","0"
"11-051712","0","0"
"11-051713","0","0"
"11-051776","0","0"
